station_name,address,latitude,longitude,capacity_kw,total_chargers,slow_chargers,fast_chargers,outlet_chargers
구로5동 마을공동공영주차장,서울 구로구 구로동 547-16,37.5022584005535,126.887615405988,14,2,2,0,0
개봉1동 노외공영주차장,서울 구로구 개봉동 134-8(개봉1동 주민센터),37.4999921852315,126.851037166119,14,2,2,0,0
50+동부캠퍼스,서울 광진구 자양동 56-6,37.5348060370339,127.063690772821,220,13,10,3,0
강동문화재단,서울 강동구 동남로 870(강동아트센터),37.5512204558342,127.157342546961,21,3,3,0,0
문화재청 궁능유적본부,서울 강남구 선릉로100길 1(선릉정릉),37.5073677154051,127.047165945717,14,2,2,0,0
중랑초교 공영주차장,서울 중랑구 봉우재로6길 26(중랑초등학교),37.5896624582228,127.075503730195,114,4,2,2,0
여의서로 노상공영주차장(가로등),서울 영등포구 의사당대로 1(국회),37.53081651454611,126.91205929311757,100,2,0,2,0
명일동 거주자주차장 127번(가로등),서울 강동구 명일동 48-12(동양타워),37.55178274556999,127.1539421340232,50,1,0,1,0
명일동 거주자주차장 134번(가로등),서울 강동구 명일동 48-15(청솔빌딩),37.551715898000964,127.155107622909,50,1,0,1,0
대궐재어린이공원 거주자주차장(가로등),서울 서대문구 연희동 73-7,37.57419743299027,126.93690419027776,50,1,0,1,0
공릉동 거주자주차장(가로등),서울 노원구 공릉동 366-32(우성빌라),37.62925965543295,127.07396389493339,50,1,0,1,0
월계동 거주자주차장(가로등),서울 노원구 월계동 403-1(광운대학교),37.6212504905201,127.060217981603,50,1,0,1,0
초안산근린공원 거주자주차장(가로등),서울 도봉구 창동 474-15,37.63478657323225,127.04357270964329,50,1,0,1,0
청계8 노상공영주차장(가로등),서울 성동구 청계천로 494(벽산아파트상가),37.56954739328224,127.0316831932636,100,2,0,2,0
강남주민편익시설(가로등),서울 강남구 남부순환로 3318(강남자원회수시설),37.49272655865556,127.09381004038092,200,4,0,4,0
대방동(서울공고) 거주자주차장(가로등),서울 동작구 대방동1길 46(서울공업고등학교),37.50040937734457,126.92087642099837,50,1,0,1,0
신대방동 신라스테이 거주자주차장(가로등),서울 동작구 시흥대로 596(신라스테이해링턴타워),37.48536368314118,126.90414133794323,50,1,0,1,0
방화로 노상공영주차장(가로등),서울 강서구 공항동 795,37.55277642139667,126.81634890920002,50,1,0,1,0
신월5동 복개 노상공영주차장(가로등),서울 양천구 신월동 51-9(메디힐병원),37.537290389911334,126.82823891427553,50,1,0,1,0
곰달래5길 노상공영주차장(가로등),서울 양천구 신월동 128(신월프라자),37.53105919312546,126.83399204685777,100,2,0,2,0
청기와2 노상공영주차장(가로등),서울 마포구 서교동 479-1,37.55461455003302,126.91258587912473,50,1,0,1,0
수락산디자인 노상공영주차장(가로등),서울 노원구 상계동 1119,37.6758504164235,127.056244858792,50,1,0,1,0
미화어린이공원 주차장(가로등),서울 도봉구 창동 715-35,37.65528079894335,127.03975714090558,50,1,0,1,0
노원세무서 거주자주차장(가로등),서울 도봉구 노해로69길 14(노원세무서),37.65347450778262,127.05100338206675,50,1,0,1,0
청계5 노상공영주차장(가로등),서울 중구 동호로 지하 384(청계5가지하쇼핑센터),37.56873622121318,127.0023063167934,100,2,0,2,0
서소문청사(지상),서울 중구 덕수궁길 15(서울시청 서소문별관),37.56396504439593,126.97485284668593,240,2,0,2,0
중랑천 환경센터,서울 노원구 덕릉로 430(중랑천 환경센터),37.6433913204284,127.055998408611,200,2,0,2,0
한마음공영주차장,서울 양천구 목동 914-6(도로환경관리센터),37.53118705147924,126.87786896476099,1100,11,0,11,0
누상공영주차장,서울 종로구 누상동 166-16,37.580356036837124,126.96465551030201,57,2,1,1,0
청소년미래진로센터(하자센터),서울 영등포구 영신로 200(청소년미래진로센터/하이서울유스호스텔),37.52494388655455,126.90298207082404,100,2,0,2,0
강남운전면허시험장,서울 강남구 테헤란로114길 23(강남운전면허시험장),37.50751651057392,127.06750430358277,50,1,0,1,0
서울물재생시설공단,서울 강남구 개포로 625,37.49870508860797,127.08116866700007,100,2,0,2,0
시립서부노인 전문요양센터,서울 마포구 월드컵로36길 15(서부노인전문요양센터),37.5664628675331,126.9025023151,7,1,1,0,0
하이서울유스호스텔(지하주차장),서울 영등포구 영신로 200(청소년미래진로센터/하이서울유스호스텔),37.525511735254376,126.90324718644385,7,1,1,0,0
양천구민체육센터,서울 양천구 신정동 322-10(양천구민체육센터),37.51619381969644,126.86494185241727,100,2,0,2,0
난곡스마트 공영주차장,서울 관악구 신림동 646-170,37.4688537479612,126.924349806417,100,2,0,2,0
논현 제2호주차장,서울 강남구 학동로20길 13(논현2호주차장),37.5122073879479,127.028563172387,100,2,0,2,0
논현 제1호주차장,서울 강남구 학동로6길 19(논현1호주차장),37.5106817977624,127.024602306929,100,2,0,2,0
